iter	Passed	Remaining
562	23839	18504
563	23881	18461
564	23919	18416
565	23957	18370
566	23996	18325
567	24035	18280
568	24075	18236
569	24114	18191
570	24155	18148
571	24195	18104
572	24238	18062
573	24282	18021
574	24328	17982
575	24371	17940
576	24412	17896
577	24452	17852
578	24490	17807
579	24532	17764
580	24573	17721
581	24612	17677
582	24652	17632
583	24691	17588
584	24730	17544
585	24770	17500
586	24809	17455
587	24850	17412
588	24891	17369
589	24931	17325
590	24970	17280
591	25010	17237
592	25051	17193
593	25091	17150
594	25133	17107
595	25173	17064
596	25215	17021
597	25261	16981
598	25302	16938
599	25341	16894
600	25380	16849
601	25418	16804
602	25459	16761
603	25501	16719
604	25539	16674
605	25580	16631
606	25621	16588
607	25660	16544
608	25698	16499
609	25737	16454
610	25776	16411
611	25816	16367
612	25856	16323
613	25894	16278
614	25933	16235
615	25973	16191
616	26013	16147
617	26053	16104
618	26094	16061
619	26137	16019
620	26175	15975
621	26214	15930
622	26255	15888
623	26296	15845
624	26337	15802
625	26378	15759
626	26417	15715
627	26458	15672
628	26497	15629
629	26537	15585
630	26585	15546
631	26625	15503
632	26667	15461
633	26707	15417
634	26748	15375
635	26791	15333
636	26833	15291
637	26874	15248
638	26915	15205
639	26956	15163
640	26996	15120
641	27037	15077
642	27077	15033
643	27118	14991
644	27159	14948
645	27200	14905
646	27243	14864
647	27283	14820
648	27324	14778
649	27363	14734
650	27404	14691
651	27444	14648
652	27485	14605
653	27524	14561
654	27562	14517
655	27602	14474
656	27646	14433
657	27686	14390
658	27725	14346
659	27765	14303
660	27807	14261
661	27847	14218
662	27886	14174
663	27924	14130
664	27964	14087
665	28004	14044
666	28046	14002
667	28085	13958
668	28125	13915
669	28165	13872
670	28206	13829
671	28245	13786
672	28287	13744
673	28329	13702
674	28370	13659
675	28410	13616
676	28449	13573
677	28490	13530
678	28530	13488
679	28570	13445
680	28609	13401
681	28647	13357
682	28689	13315
683	28729	13272
684	28769	13229
685	28810	13187
686	28850	13144
687	28892	13102
688	28934	13060
689	28974	13017
690	29014	12974
691	29054	12931
692	29095	12889
693	29138	12847
694	29176	12804
695	29220	12763
696	29262	12720
697	29303	12678
698	29343	12635
699	29383	12593
700	29422	12549
701	29466	12508
702	29506	12465
703	29545	12422
704	29583	12379
705	29621	12335
706	29660	12291
707	29698	12248
708	29737	12205
709	29775	12161
710	29816	12119
711	29857	12077
712	29898	12034
713	29943	11994
714	29984	11952
715	30025	11909
716	30064	11866
717	30109	11825
718	30148	11782
719	30191	11741
720	30231	11698
721	30270	11655
722	30310	11612
723	30350	11570
724	30390	11527
725	30430	11484
726	30468	11441
727	30507	11398
728	30547	11355
729	30587	11313
730	30627	11270
731	30665	11227
732	30705	11184
733	30758	11146
734	30809	11108
735	30853	11066
736	30894	11024
737	30934	10982
738	30975	10939
739	31021	10899
740	31062	10857
741	31102	10814
742	31143	10772
743	31190	10732
744	31231	10689
745	31273	10648
746	31314	10605
747	31354	10563
748	31399	10522
749	31439	10479
750	31478	10437
751	31520	10394
752	31558	10352
753	31601	10310
754	31641	10267
755	31681	10225
756	31722	10182
757	31762	10140
758	31803	10098
759	31844	10056
760	31883	10013
761	31924	9971
762	31966	9929
763	32007	9887
764	32048	9845
765	32089	9802
766	32128	9760
767	32168	9717
768	32209	9675
769	32249	9632
770	32289	9590
771	32331	9548
772	32370	9506
773	32410	9463
774	32450	9421
775	32488	9378
776	32527	9335
777	32565	9292
778	32605	9250
779	32645	9207
780	32685	9165
781	32726	9123
782	32767	9081
783	32805	9038
784	32843	8995
785	32881	8952
786	32922	8910
787	32962	8868
788	33003	8825
789	33043	8783
790	33084	8741
791	33127	8700
792	33173	8659
793	33216	8617
794	33257	8575
795	33298	8533
796	33344	8493
797	33386	8451
798	33431	8410
799	33476	8369
800	33521	8328
801	33565	8286
802	33609	8245
803	33655	8204
804	33698	8162
805	33745	8122
806	33788	8080
807	33828	8038
808	33869	7996
809	33909	7954
810	33950	7911
811	33994	7870
812	34045	7830
813	34087	7789
814	34127	7746
815	34171	7705
816	34211	7663
817	34249	7620
818	34288	7577
819	34328	7535
820	34366	7492
821	34407	7450
822	34447	7408
823	34490	7366
824	34532	7325
825	34574	7283
826	34615	7241
827	34655	7198
828	34696	7156
829	34740	7115
830	34782	7073
831	34822	7031
832	34863	6989
833	34907	6948
834	34948	6905
835	34988	6863
836	35029	6821
837	35068	6779
838	35108	6737
839	35153	6695
840	35194	6653
841	35235	6611
842	35274	6569
843	35312	6526
844	35351	6484
845	35391	6442
846	35435	6401
847	35474	6358
848	35512	6316
849	35551	6273
850	35592	6231
851	35630	6189
852	35670	6147
853	35710	6105
854	35752	6063
855	35794	6021
856	35838	5979
857	35878	5937
858	35919	5895
859	35958	5853
860	35999	5811
861	36039	5769
862	36079	5727
863	36120	5685
864	36161	5643
865	36201	5601
866	36243	5559
867	36282	5517
868	36322	5475
869	36362	5433
870	36402	5391
871	36441	5349
872	36480	5306
873	36519	5264
874	36558	5222
875	36603	5181
876	36644	5139
877	36684	5097
878	36725	5055
879	36768	5013
880	36809	4972
881	36851	4930
882	36892	4888
883	36932	4846
884	36972	4804
885	37012	4762
886	37057	4720
887	37096	4678
888	37145	4637
889	37185	4595
890	37226	4554
891	37264	4511
892	37303	4469
893	37344	4427
894	37382	4385
895	37421	4343
896	37459	4301
897	37498	4259
898	37537	4217
899	37576	4175
900	37618	4133
901	37660	4091
902	37697	4049
903	37738	4007
904	37777	3965
905	37819	3923
906	37859	3881
907	37900	3840
908	37942	3798
909	37983	3756
910	38025	3714
911	38063	3672
912	38103	3630
913	38145	3589
914	38185	3547
915	38225	3505
916	38265	3463
917	38304	3421
918	38345	3379
919	38384	3337
920	38424	3295
921	38464	3254
922	38504	3212
923	38545	3170
924	38585	3128
925	38623	3086
926	38663	3044
927	38703	3002
928	38742	2960
929	38781	2919
930	38822	2877
931	38863	2835
932	38903	2793
933	38945	2752
934	38987	2710
935	39030	2668
936	39072	2627
937	39117	2585
938	39156	2543
939	39195	2501
940	39237	2460
941	39277	2418
942	39316	2376
943	39355	2334
944	39394	2292
945	39434	2251
946	39472	2209
947	39513	2167
948	39552	2125
949	39593	2083
950	39633	2042
951	39670	2000
952	39708	1958
953	39748	1916
954	39788	1874
955	39827	1833
956	39866	1791
957	39906	1749
958	39945	1707
959	39986	1666
960	40026	1624
961	40064	1582
962	40102	1540
963	40146	1499
964	40184	1457
965	40222	1415
966	40262	1374
967	40303	1332
968	40343	1290
969	40382	1248
970	40423	1207
971	40468	1165
972	40507	1124
973	40546	1082
974	40586	1040
975	40625	998
976	40665	957
977	40703	915
978	40742	873
979	40781	832
980	40820	790
981	40861	748
982	40900	707
983	40941	665
984	40981	624
985	41020	582
986	41060	540
987	41108	499
988	41147	457
989	41187	416
990	41231	374
991	41271	332
992	41311	291
993	41350	249
994	41389	207
995	41427	166
996	41467	124
997	41505	83
998	41548	41
999	41587	0
